cpp-developer	C++ 开发者
at-first-some-of	一开始，有些技能看似没有 办法习得或提升。然而，在 我们看来，这里所列的每一 项技能，都是可以通过练习 得以提升的。每个人的学习 目的不同，最终成效取决于 您个人的愿望和努力 :)
conflict-solving	解决冲突
if-you-read-this	如果您阅读本路线图，您大概率已经注 意到英文能力有多重要:) 通常，您至少需要具备英文阅读能力， 因为您要能够读懂技术文档。不过，随 着您在职业阶梯上的步步晋升，您将同 时需要更加自信地用英文说和写。
look-for-like-minded	寻找志同道合的人，并 加入或创建相关社区， 以进行经验交流。
it-s-also-good	了解如何计算算法复 杂度，和如何计算内 存消耗也很有好处。
you-should-study-and	您应当研究和观察当代发展趋势，以保 持自己的竞争力， 并适应变化。
experienced-developers-should-develop	经验丰富的开发人员应该培养管理技能 和业务沟通技能，以高效地完成任务。 如果您有较好的情商，那这就相对更容 易做到。 对于初级开发人员来说，共情能力在与 同事互动中也是非常有用的。
to-configure-automated-code	用于结合以下任意一种工具来配置自动代码格式验证：clang- format 代码格式,Resharper - 代码风格，MSVS - 代码风格。
naming-conventions-tabs-vs	命名规则（naming conventin）， tab键 vs 空格键 space，等等。
do-not-ignore-warnings	不要忽略来自编译器或任何代码 分析器的警告。 他们是你的朋友，而不是敌人。
ai-can-generate-plausible	AI 可能生成看似合理但错误的代码—— 请验证并测试一切。 必须掌握 C++。
scripting-functional-sql-like	- Scripting - Functional - SQL like - NoSQL
sometimes-it-s-needed	有时需要具备能够重用由另 一种语言编写成的库的能力 。 例如：在C#中调用C++库。
memory-safety-requirements-are	memory safety 要求日益提高（美国和 欧盟监管机构）。请学习安全实践 与分析工具。
stage1	步骤 1
stage2	步骤 2
stage3	步骤 3
stage4	步骤 4
stage5	步骤 5
cpp-developer-roadmap	С++ 开发者路线图
last-updated	最后更新：2026-09-02
about	简介
c-is-still-one	C++至今仍旧是最受欢迎的开发语言之一，有很多人想要开始学习C++并成为开发者。初学者通常会面临这样 的问题：“我应当从何开始？我需要学些什么？应当以什么样的顺序去学？我需要参考哪些书籍？ 我们希望通过这份路线图来回答这些问题。本图旨在帮助初学者或经验有限的人士，所涵盖的内容侧重于可 用在大多数开发项目中的通用能力和技能。如果您参考本路线图所罗列的相关材料，您将可以为自己创建一 个高效的学习计划，而不被次要信息分心。本路线图将帮助您达到一个许多商业项目普遍要求的C++水平。 详细信息: https://github.com/salmer/CppDeveloperRoadmap
repository	创作者
repository-link	https://github.com/salmer/CppDeveloperRoadmap
how-to-use	如何使用
feedback	反馈与沟通
legend-the-juniors-should-be	初学者需注意，对于中级和高 级的技能，只需掌握基本概念 即可。
legend-the-middle-developer-has	中级开发者具备以下能力： 可以为一款应用程序设计出 新的功能，即便是缺乏对于 该项新功能的完善的具体要 求或相关信息。
legend-optional	选修
if-you-have-any	如您有任何意见或建议，请随时与我们联系。我们将感激不尽 :) 您可通过以下任一Github链接联系我们
legend-senior	高级
legend-middle	中级
legend-junior	初级
legend-the-junior-must-acquire	初学者必须尽快掌握以下技能 : 编写易读且结构良好的代码。
legend-the-steps-are-presented	本路线图标示出了学习“步骤”。 这些“步骤”旨在规划出一套 易于操作的学习计划，以帮助 初学者在获取足够的C++基础 知识的同时，逐步提升深入学 习的信心。
legend-the-senior-developer-has	高级开发者具备以下能力： 结合业务领域的相关背景， 设计出解决方案/组件，并作 出相关决策。
